"Species","Genus","Family","species.relative","genus.relative"
"Elaeagia GAT3031","Elaeagia","Rubiaceae",,
"Mouriri RS8438","Mouriri","Melastomataceae",,
"Meriania pulcherrima","Meriania","Melastomataceae",,
"Richeria grandis","Richeria","Phyllanthaceae",,
"Zanthoxylum monogynum","Zanthoxylum","Rutaceae",,
"Annona MJM6104","Annona","Annonaceae",,
"Casearia JCS9076","Casearia","Salicaceae",,
"Miconia hygrophila","Miconia","Melastomataceae",,
"Palicourea stipularis","Palicourea","Rubiaceae",,
"Eugenia LC277","Eugenia","Myrtaceae",,
"Oenocarpus mapora","Oenocarpus","Arecaceae",,
"Miconia sessiliflora","Miconia","Melastomataceae",,
"Bellucia subandina","Bellucia","Melastomataceae",,
"Guatteria hirsuta","Guatteria","Annonaceae",,
"Weinmannia auriculata","Weinmannia","Cunoniaceae",,
"Ocotea sp2","Ocotea","Lauraceae",,
"Roucheria columbiana","Roucheria","Linaceae",,
"Miconia peruviana","Miconia","Melastomataceae",,
"Alnus acuminata","Alnus","Betulaceae",,
"Protium sp4","Protium","Burseraceae",,
"Perrottetia sessiliflora","Perrottetia","Dipentodontaceae",,
"Miconia sp60","Miconia","Melastomataceae",,
"Inga fendleriana","Inga","Fabaceae",,
"Ficus cuatrecasasiana","Ficus","Moraceae",,
"Weinmannia AF13212","Weinmannia","Cunoniaceae",,
"Brunellia rhoides","Brunellia","Brunelliaceae",,
"Miconia ALM173","Miconia","Melastomataceae",,
"Neea boliviana","Neea","Nyctaginaceae",,
"Xylophragma pratense","Xylophragma","Bignoniaceae",,
"Cyathea pungens","Cyathea","Cyatheaceae",,
"Meliosma arenosa","Meliosma","Sabiaceae",,
"Bignonia sciuripabulum","Bignonia","Bignoniaceae",,
"Marcgravia flagellaris","Marcgravia","Marcgraviaceae",,
"Astrocaryum gratum","Astrocaryum","Arecaceae",,
"Endlicheria ALM229","Endlicheria","Lauraceae",,
"Citronella incarum","Citronella","Cardiopteridaceae",,
"Ternstroemia polyandra","Ternstroemia","Pentaphylacaceae",,
"Persea LSC27","Persea","Lauraceae",,
"Gaultheria erecta","Gaultheria","Ericaceae",,
"Swartzia myrtifolia","Swartzia","Fabaceae",,
"Miconia molybdea","Miconia","Melastomataceae",,
"Baccharis GAT3015","Baccharis","Asteraceae",,
"Prunus pearcei","Prunus","Rosaceae",,
"Ocotea corymbosa","Ocotea","Lauraceae",,
"Pentacalia SB29917","Pentacalia","Asteraceae",,
"Miconia plumifera","Miconia","Melastomataceae",,
"Hippotis MJM6235","Hippotis","Rubiaceae",,
"Pouteria cuspidata","Pouteria","Sapotaceae",,
"Meliosma peytonii","Meliosma","Sabiaceae",,
"Condea tafallae","Condea","Lamiaceae",,
"Ilex teratopis","Ilex","Aquifoliaceae",,
"Doliocarpus subandinus","Doliocarpus","Dilleniaceae",,
"Panopsis pearcei","Panopsis","Proteaceae",,
"Fridericia florida","Fridericia","Bignoniaceae",,
"Rauvolfia leptophylla","Rauvolfia","Apocynaceae",,
"Dendropanax yungasensis","Dendropanax","Araliaceae",,
"Myrcia aliena","Myrcia","Myrtaceae",,
"Senegalia ILR391","Senegalia","Fabaceae",,
"Polylepis pauta","Polylepis","Rosaceae",,
"Psychotria sp3","Psychotria","Rubiaceae",,
"Zanthoxylum sprucei","Zanthoxylum","Rutaceae",,
"Inga sp","Inga","Fabaceae",,
"Escallonia myrtilloides","Escallonia","Escalloniaceae",,
"Pourouma sp4","Pourouma","Urticaceae",,
"Guatteria sp7","Guatteria","Annonaceae",,
"Myrsine youngii","Myrsine","Primulaceae",,
"Hedyosmum translucidum","Hedyosmum","Chloranthaceae",,
"Miconia lamprophylla","Miconia","Melastomataceae",,
"Clusia sp12","Clusia","Clusiaceae",,
"Endlicheria AF20980","Endlicheria","Lauraceae",,
"Inga capitata","Inga","Fabaceae",,
"Inga marginata","Inga","Fabaceae",,
"Rhodostemonodaphne kunthiana","Rhodostemonodaphne","Lauraceae",,
"Aiouea montana","Aiouea","Lauraceae",,
"Meliosma solomonii","Meliosma","Sabiaceae",,
"Trichilia pachypoda","Trichilia","Meliaceae",,
"Stryphnodendron ETP316","Stryphnodendron","Fabaceae",,
"Macrocarpaea bangiana","Macrocarpaea","Gentianaceae",,
"Ilex MCM745","Ilex","Aquifoliaceae",,
"Meliosma AM3490","Meliosma","Sabiaceae",,
"Tapura acreana","Tapura","Dichapetalaceae",,
"Tabernaemontana cymosa","Tabernaemontana","Apocynaceae",,
"Pachira rurrenabaqueana","Pachira","Malvaceae",,
"Psychotria GAT2945","Psychotria","Rubiaceae",,
"Abuta AF4105","Abuta","Menispermaceae",,
"Inga AM3592A","Inga","Fabaceae",,
"Perrottetia gentryi","Perrottetia","Dipentodontaceae",,
"Banisteriopsis muricata","Banisteriopsis","Malpighiaceae",,
"Helicteres lhotzkyana","Helicteres","Malvaceae",,
"Jacaratia digitata","Jacaratia","Caricaceae",,
"Miconia LC3465","Miconia","Melastomataceae",,
"Miconia AF17303","Miconia","Melastomataceae",,
"Ilex LC3781","Ilex","Aquifoliaceae",,
"Brachyotum microdon","Brachyotum","Melastomataceae",,
"Allophylus floribundus","Allophylus","Sapindaceae",,
"Agouticarpa curviflora","Agouticarpa","Rubiaceae",,
"Trichilia adolfi","Trichilia","Meliaceae",,
"Hiraea crassipes","Hiraea","Malpighiaceae",,
"Palicourea reticulata","Palicourea","Rubiaceae",,
"Souroubea fragilis","Souroubea","Marcgraviaceae",,
"Bellucia gracilis","Bellucia","Melastomataceae",,
"Calophyllum brasiliense","Calophyllum","Calophyllaceae",,
"Parinari klugii","Parinari","Chrysobalanaceae",,
"Acalypha stachyura","Acalypha","Euphorbiaceae",,
"Niedenzuella stannea","Niedenzuella","Malpighiaceae",,
"Matayba guianensis","Matayba","Sapindaceae",,
"Dendropanax cuneatus","Dendropanax","Araliaceae",,
"Prunus detrita","Prunus","Rosaceae",,
"Oreopanax sp4","Oreopanax","Araliaceae",,
"Prunus herthae","Prunus","Rosaceae",,
"Inga sp2","Inga","Fabaceae",,
"Vismia gracilis","Vismia","Hypericaceae",,
"Miconia sp2","Miconia","Melastomataceae",,
"Schefflera allocotantha","Schefflera","Araliaceae",,
"Pouteria sp2","Pouteria","Sapotaceae",,
"Coussapoa villosa","Coussapoa","Urticaceae",,
"Baccharis sp3","Baccharis","Asteraceae",,
"Myrsine sp11","Myrsine","Primulaceae",,
"Gaultheria sp1","Gaultheria","Ericaceae",,
"Clusia flaviflora","Clusia","Clusiaceae",,
"Hieronyma moritziana","Hieronyma","Euphorbiaceae",,
"Persea mutisii","Persea","Lauraceae",,
"Ormosia AM1981","Ormosia","Fabaceae",,
"Ocotea NCH209","Ocotea","Lauraceae",,
"Ruagea pubescens","Ruagea","Meliaceae",,
"Aniba guianensis","Aniba","Lauraceae",,
"Inga sapindoides","Inga","Fabaceae",,
"Weinmannia GAT2378","Weinmannia","Cunoniaceae",,
"Pouteria CMG2008","Pouteria","Sapotaceae",,
"Machaerium punctatum","Machaerium","Fabaceae",,
"Clusia ternstroemioides","Clusia","Clusiaceae",,
"Handroanthus serratifolius","Handroanthus","Bignoniaceae",,
"Myrsine AF10852","Myrsine","Primulaceae",,
"Tachigali alba","Tachigali","Fabaceae",,
"Swartzia jorori","Swartzia","Fabaceae",,
"Inga MCM169","Inga","Fabaceae",,
"Tetracera parviflora","Tetracera","Dilleniaceae",,
"Macrocnemum roseum","Macrocnemum","Rubiaceae",,
"Licania micrantha","Licania","Chrysobalanaceae",,
"Ocotea glabriflora","Ocotea","Lauraceae",,
"Oxandra xylopioides","Oxandra","Annonaceae",,
"Casearia ulmifolia","Casearia","Salicaceae",,
"Ficus donnell-smithii","Ficus","Moraceae",,
"Oreopanax kuntzei","Oreopanax","Araliaceae",,
"Ilex sp10","Ilex","Aquifoliaceae",,
"Macrocarpaea maguirei","Macrocarpaea","Gentianaceae",,
"Lissocarpa sp1","Lissocarpa","Ebenaceae",,
"Casearia zahlbruckneri","Casearia","Salicaceae",,
"Miconia LC3603","Miconia","Melastomataceae",,
"Erythroxylum citrifolium","Erythroxylum","Erythroxylaceae",,
"Aralia soratensis","Aralia","Araliaceae",,
"Miconia AM3656","Miconia","Melastomataceae",,
"Tachia parviflora","Tachia","Gentianaceae",,
"Esenbeckia grandiflora","Esenbeckia","Rutaceae",,
"Calliandra chulumania","Calliandra","Fabaceae",,
"Miconia AEC285","Miconia","Melastomataceae",,
"Duguetia spixiana","Duguetia","Annonaceae",,
"Freziera lanata","Freziera","Pentaphylacaceae",,
"Sciodaphyllum GAT1618","Sciodaphyllum","Araliaceae",,
"Palicourea microcarpa","Palicourea","Rubiaceae",,
"Inga GAT1258","Inga","Fabaceae",,
"Croton tessmannii","Croton","Euphorbiaceae",,
"Picramnia latifolia","Picramnia","Picramniaceae",,
"Guettarda crispiflora","Guettarda","Rubiaceae",,
"Ilex gabrielleana","Ilex","Aquifoliaceae",,
"Cedrela odorata","Cedrela","Meliaceae",,
"Miconia sp36","Miconia","Melastomataceae",,
"Faramea sp2","Faramea","Rubiaceae",,
"Ceroxylon sp1","Ceroxylon","Arecaceae",,
"Ceroxylon sp3","Ceroxylon","Arecaceae",,
"Actinostemon concolor","Actinostemon","Euphorbiaceae",,
"Caryocar dentatum","Caryocar","Caryocaraceae",,
"Persea AF15025A","Persea","Lauraceae",,
"Freziera caesariata","Freziera","Pentaphylacaceae",,
"Sloanea grandiflora","Sloanea","Elaeocarpaceae",,
"Simira macrocrater","Simira","Rubiaceae",,
"Clethra AF10699","Clethra","Clethraceae",,
"Mikania simpsonii","Mikania","Asteraceae",,
"Aiouea AEC130","Aiouea","Lauraceae",,
"Fridericia poeppigii","Fridericia","Bignoniaceae",,
"Paullinia BNA269","Paullinia","Sapindaceae",,
"Sloanea AF15770","Sloanea","Elaeocarpaceae",,
"Styrax pentlandianus","Styrax","Styracaceae",,
"Miconia MVH167","Miconia","Melastomataceae",,
"Solanum asperolanatum","Solanum","Solanaceae",,
"Psychotria trichotoma","Psychotria","Rubiaceae",,
"Nectandra ILR334B","Nectandra","Lauraceae",,
"Vismia pozuzoensis","Vismia","Hypericaceae",,
"Cabralea canjerana","Cabralea","Meliaceae",,
"Hura crepitans","Hura","Euphorbiaceae",,
"Marila plumbaginea","Marila","Calophyllaceae",,
"Wedelia aurantiaca","Wedelia","Asteraceae",,
"Enterolobium barnebianum","Enterolobium","Fabaceae",,
"Guapira AM3118","Guapira","Nyctaginaceae",,
"Pristimera celastroides","Pristimera","Celastraceae",,
"Hirtella rasa","Hirtella","Chrysobalanaceae",,
"Inga adenophylla","Inga","Fabaceae",,
"Palicourea luteonivea","Palicourea","Rubiaceae",,
"Ilex amplifolia","Ilex","Aquifoliaceae",,
"Diplotropis martiusii","Diplotropis","Fabaceae",,
"Aspidosperma sp4","Aspidosperma","Apocynaceae",,
"Ocotea sp1","Ocotea","Lauraceae",,
"Alchornea grandis","Alchornea","Euphorbiaceae",,
"Incadendron esseri","Incadendron","Euphorbiaceae",,
"Persea sp5","Persea","Lauraceae",,
"Pentacalia oronocensis","Pentacalia","Asteraceae",,
"Endlicheria klugii","Endlicheria","Lauraceae",,
"Elaeagia myriantha","Elaeagia","Rubiaceae",,
"Licaria sp1","Licaria","Lauraceae",,
"Siparuna aspera","Siparuna","Siparunaceae",,
"Miconia sp65","Miconia","Melastomataceae",,
"Cyathea austropallescens","Cyathea","Cyatheaceae",,
"Pausandra trianae","Pausandra","Euphorbiaceae",,
"Dialium guianense","Dialium","Fabaceae",,
"Lundia spruceana","Lundia","Bignoniaceae",,
"Ixora LC6464","Ixora","Rubiaceae",,
"Picrasma ETP88","Picrasma","Simaroubaceae",,
"Chrysophyllum venezuelanense","Chrysophyllum","Sapotaceae",,
"Senegalia loretensis","Senegalia","Fabaceae",,
"Erythroxylum gracilipes","Erythroxylum","Erythroxylaceae",,
"Unonopsis spectabilis","Unonopsis","Annonaceae",,
"Nectandra hihua","Nectandra","Lauraceae",,
"Ormosia coarctata","Ormosia","Fabaceae",,
"Magnolia madidiensis","Magnolia","Magnoliaceae",,
"Myrcia haenkeana","Myrcia","Myrtaceae",,
"Myrcia CMG2960","Myrcia","Myrtaceae",,
"Mansoa difficilis","Mansoa","Bignoniaceae",,
"Naucleopsis glabra","Naucleopsis","Moraceae",,
"Coccoloba AF11255","Coccoloba","Polygonaceae",,
"Annona boliviana","Annona","Annonaceae",,
"Myrciaria dubia","Myrciaria","Myrtaceae",,
"Styrax nunezii","Styrax","Styracaceae",,
"Psychotria GAT2721","Psychotria","Rubiaceae",,
"Thibaudia floribunda","Thibaudia","Ericaceae",,
"Ocotea GAT1035","Ocotea","Lauraceae",,
"Coccoloba peruviana","Coccoloba","Polygonaceae",,
"Persea subcordata","Persea","Lauraceae",,
"Senna spectabilis","Senna","Fabaceae",,
"Warszewiczia cordata","Warszewiczia","Rubiaceae",,
"Angostura longiflora","Angostura","Rutaceae",,
"Ochroma pyramidale","Ochroma","Malvaceae",,
"Marlierea DDQ220","Marlierea","Myrtaceae",,
"Piper amalago","Piper","Piperaceae",,
"Picramnia sellowii","Picramnia","Picramniaceae",,
"Miconia tococa","Miconia","Melastomataceae",,
"Ocotea GAT2421","Ocotea","Lauraceae",,
"Trichilia hirta","Trichilia","Meliaceae",,
"Paullinia setosa","Paullinia","Sapindaceae",,
"Citronella apogon","Citronella","Cardiopteridaceae",,
"Cestrum microcalyx","Cestrum","Solanaceae",,
"Boehmeria ulmifolia","Boehmeria","Urticaceae",,
"Escallonia paniculata","Escallonia","Escalloniaceae",,
"Psychotria bangii","Psychotria","Rubiaceae",,
"Randia JQQ1143","Randia","Rubiaceae",,
"Niedenzuella peruviana","Niedenzuella","Malpighiaceae",,
"Terminalia oblonga","Terminalia","Combretaceae",,
"Piper AM686","Piper","Piperaceae",,
"Calyptranthes GAT1107","Calyptranthes","Myrtaceae",,
"Terminalia amazonia","Terminalia","Combretaceae",,
"Sorocea steinbachii","Sorocea","Moraceae",,
"Coussarea platyphylla","Coussarea","Rubiaceae",,
"Tetrathylacium macrophyllum","Tetrathylacium","Salicaceae",,
"Byrsonima crassifolia","Byrsonima","Malpighiaceae",,
"Miconia aureoides","Miconia","Melastomataceae",,
"Ouratea AAD380","Ouratea","Ochnaceae",,
"Suessenguthia multisetosa","Suessenguthia","Acanthaceae",,
"Ocotea obovata","Ocotea","Lauraceae",,
"Sloanea robusta","Sloanea","Elaeocarpaceae",,
"Piptadenia boliviana","Piptadenia","Fabaceae",,
"Matisia malacocalyx","Matisia","Malvaceae",,
"Guatteria dielsiana","Guatteria","Annonaceae",,
"Clusia ducuoides","Clusia","Clusiaceae",,
"Ocotea sp6","Ocotea","Lauraceae",,
"Pourouma sp7","Pourouma","Urticaceae",,
"Ficus schippii","Ficus","Moraceae",,
"Guatteria tomentosa","Guatteria","Annonaceae",,
"Schefflera sp2","Schefflera","Araliaceae",,
"Miconia denticulata","Miconia","Melastomataceae",,
"Gynoxys sp5","Gynoxys","Asteraceae",,
"Cybianthus sp1","Cybianthus","Primulaceae",,
"Mollinedia racemosa","Mollinedia","Monimiaceae",,
"Bellucia sp66","Bellucia","Melastomataceae",,
"Eschweilera andina","Eschweilera","Lecythidaceae",,
"Attalea butyracea","Attalea","Arecaceae",,
"Campomanesia SPS107","Campomanesia","Myrtaceae",,
"Miconia chrysophylla","Miconia","Melastomataceae",,
"Miconia AEC165","Miconia","Melastomataceae",,
"Bougainvillea stipitata","Bougainvillea","Nyctaginaceae",,
"Pseudolmedia LC4490","Pseudolmedia","Moraceae",,
"Urera capitata","Urera","Urticaceae",,
"Nectandra membranacea","Nectandra","Lauraceae",,
"Pseudolmedia boliviana","Pseudolmedia","Moraceae",,
"Clethra pedicellaris","Clethra","Clethraceae",,
"Simira rubescens","Simira","Rubiaceae",,
"Simira fragrans","Simira","Rubiaceae",,
"Coccoloba AAD615","Coccoloba","Polygonaceae",,
"Inga umbellifera","Inga","Fabaceae",,
"Blakea repens","Blakea","Melastomataceae",,
"Iryanthera tessmannii","Iryanthera","Myristicaceae",,
"Mosannona parva","Mosannona","Annonaceae",,
"Kaunia gynoxymorpha","Kaunia","Asteraceae",,
"Sapium argutum","Sapium","Euphorbiaceae",,
"Erythrina amazonica","Erythrina","Fabaceae",,
"Eugenia feijoi","Eugenia","Myrtaceae",,
"Solanum nutans","Solanum","Solanaceae",,
"Ocotea AF11711","Ocotea","Lauraceae",,
"Ilex andicola","Ilex","Aquifoliaceae",,
"Gaiadendron punctatum","Gaiadendron","Loranthaceae",,
"Inga gracilior","Inga","Fabaceae",,
"Sloanea rufa","Sloanea","Elaeocarpaceae",,
"Palicourea amethystina","Palicourea","Rubiaceae",,
"Cordia sprucei","Cordia","Boraginaceae",,
"Miconia GAT596","Miconia","Melastomataceae",,
"Hirtella pilosissima","Hirtella","Chrysobalanaceae",,
"Senna silvestris","Senna","Fabaceae",,
"Dipteryx odorata","Dipteryx","Fabaceae",,
"Liabum solidagineum","Liabum","Asteraceae",,
"Sterculia tessmannii","Sterculia","Malvaceae",,
"Swartzia acreana","Swartzia","Fabaceae",,
"Eugenia lambertiana","Eugenia","Myrtaceae",,
"Neea NPZ4862","Neea","Nyctaginaceae",,
"Meriania AF17180","Meriania","Melastomataceae",,
"Axinaea alata","Axinaea","Melastomataceae",,
"Clematis haenkeana","Clematis","Ranunculaceae",,
"Dolichandra uncata","Dolichandra","Bignoniaceae",,
"Cinchona macrocalyx","Cinchona","Rubiaceae",,
"Tessmannianthus AF16132","Tessmannianthus","Melastomataceae",,
"Ocotea LC4365A","Ocotea","Lauraceae",,
"Xylopia MJM6217","Xylopia","Annonaceae",,
"Licania lata","Licania","Chrysobalanaceae",,
"Jacaranda copaia","Jacaranda","Bignoniaceae",,
"Miconia pyrifolia","Miconia","Melastomataceae",,
"Sarcopera anomala","Sarcopera","Marcgraviaceae",,
"Rudgea ciliata","Rudgea","Rubiaceae",,
"Piper trichorhachis","Piper","Piperaceae",,
"Senegalia tenuifolia","Senegalia","Fabaceae",,
"Talisia croatii","Talisia","Sapindaceae",,
"Eugenia polystachya","Eugenia","Myrtaceae",,
"Siparuna subinodora","Siparuna","Siparunaceae",,
"Strychnos mitscherlichii","Strychnos","Loganiaceae",,
"Condaminea elegans","Condaminea","Rubiaceae",,
"Lundia corymbifera","Lundia","Bignoniaceae",,
"Pacouria boliviensis","Pacouria","Apocynaceae",,
"Vatairea fusca","Vatairea","Fabaceae",,
"Bactris concinna","Bactris","Arecaceae",,
"Tetrapterys MJM4217","Tetrapterys","Malpighiaceae",,
"Miconia bullata","Miconia","Melastomataceae",,
"Inga densiflora","Inga","Fabaceae",,
"Cedrelinga cateniformis","Cedrelinga","Fabaceae",,
"Aegiphila saltensis","Aegiphila","Lamiaceae",,
"Myrcia sp","Myrcia","Myrtaceae",,
"Viburnum ayavacense","Viburnum","Adoxaceae",,
"Ocotea sp7","Ocotea","Lauraceae",,
"Erythroxylum deciduum","Erythroxylum","Erythroxylaceae",,
"Guatteria duodecima","Guatteria","Annonaceae",,
"Heliocarpus americanus","Heliocarpus","Malvaceae",,
"Ficus sp4","Ficus","Moraceae",,
"Geonoma weberbaueri","Geonoma","Arecaceae",,
"Miconia calophylla","Miconia","Melastomataceae",,
"Protium sagotianum","Protium","Burseraceae",,
"Heisteria acuminata","Heisteria","Olacaceae",,
"Leandra sp3","Leandra","Melastomataceae",,
"Bactris sp1","Bactris","Arecaceae",,
"Disterigma sp1","Disterigma","Ericaceae",,
"Roupala monosperma","Roupala","Proteaceae",,
"Ferdinandusa APC197","Ferdinandusa","Rubiaceae",,
"Zanthoxylum ekmanii","Zanthoxylum","Rutaceae",,
"Guatteria oblongifolia","Guatteria","Annonaceae",,
"Ficus citrifolia","Ficus","Moraceae",,
"Piptadenia buchtienii","Piptadenia","Fabaceae",,
"Vernonanthura patens","Vernonanthura","Asteraceae",,
"Solanum clandestinum","Solanum","Solanaceae",,
"Myrsine latifolia","Myrsine","Primulaceae",,
"Tanaecium xanthophyllum","Tanaecium","Bignoniaceae",,
"Forsteronia acouci","Forsteronia","Apocynaceae",,
"Cariniana ianeirensis","Cariniana","Lecythidaceae",,
"Eugenia acrensis","Eugenia","Myrtaceae",,
"Calyptranthes AEC151","Calyptranthes","Myrtaceae",,
"Tournefortiopsis dependens","Tournefortiopsis","Rubiaceae",,
"Fuchsia boliviana","Fuchsia","Onagraceae",,
"Erythroxylum macrophyllum","Erythroxylum","Erythroxylaceae",,
"Serjania marginata","Serjania","Sapindaceae",,
"Piper arboreum","Piper","Piperaceae",,
"Ocotea AEC335","Ocotea","Lauraceae",,
"Morus insignis","Morus","Moraceae",,
"Cinnamomum FZR1488","Cinnamomum","Lauraceae",,
"Cybianthus psychotriifolius","Cybianthus","Primulaceae",,
"Vitex triflora","Vitex","Lamiaceae",,
"Eugenia neosilvestris","Eugenia","Myrtaceae",,
"Nectandra longifolia","Nectandra","Lauraceae",,
"Malanea AF16936","Malanea","Rubiaceae",,
"Psychotria tipuanensis","Psychotria","Rubiaceae",,
"Piptocarpha poeppigiana","Piptocarpha","Asteraceae",,
"Aiouea tomentella","Aiouea","Lauraceae",,
"Miconia AF11657","Miconia","Melastomataceae",,
"Mikania GAT286","Mikania","Asteraceae",,
"Pimentelia glomerata","Pimentelia","Rubiaceae",,
"Siparuna NCH245","Siparuna","Siparunaceae",,
"Miconia staphidioides","Miconia","Melastomataceae",,
"Margaritopsis cephalantha","Margaritopsis","Rubiaceae",,
"Sanango racemosum","Sanango","Gesneriaceae",,
"Mouriri apiranga","Mouriri","Melastomataceae",,
"Ilex LC2925B","Ilex","Aquifoliaceae",,
"Psychotria GAT2257","Psychotria","Rubiaceae",,
"Miconia sp","Miconia","Melastomataceae",,
"Cecropia sp10","Cecropia","Urticaceae",,
"Ocotea sp14","Ocotea","Lauraceae",,
"Nectandra sp16","Nectandra","Lauraceae",,
"Hedyosmum peruvianum","Hedyosmum","Chloranthaceae",,
"Brosimum rubescens","Brosimum","Moraceae",,
"Palicourea sp7","Palicourea","Rubiaceae",,
"Persea sp","Persea","Lauraceae",,
"Beilschmiedia latifolia","Beilschmiedia","Lauraceae",,
"Ocotea sp26","Ocotea","Lauraceae",,
"Sarcaulus sp2","Sarcaulus","Sapotaceae",,
"Ficus macbridei","Ficus","Moraceae",,
"Miconia sp73","Miconia","Melastomataceae",,
"Mollinedia tessmannii","Mollinedia","Monimiaceae",,
"Oreopanax cuscoensis","Oreopanax","Araliaceae",,
"Trichilia tuberculata","Trichilia","Meliaceae",,
"Syagrus sancona","Syagrus","Arecaceae",,
"Persea AM3535","Persea","Lauraceae",,
"Coussarea paniculata","Coussarea","Rubiaceae",,
"Ilex paraguariensis","Ilex","Aquifoliaceae",,
"Trichilia micrantha","Trichilia","Meliaceae",,
"Xylopia cuspidata","Xylopia","Annonaceae",,
"Apeiba membranacea","Apeiba","Malvaceae",,
"Curatella americana","Curatella","Dilleniaceae",,
"Endlicheria metallica","Endlicheria","Lauraceae",,
"Piper lehmannianum","Piper","Piperaceae",,
"Siparuna tomentosa","Siparuna","Siparunaceae",,
"Freziera AF6855","Freziera","Pentaphylacaceae",,
"Marcgravia MCM1135","Marcgravia","Marcgraviaceae",,
"Tetrapterys MJM5191","Tetrapterys","Malpighiaceae",,
"Siphoneugena MJM4727","Siphoneugena","Myrtaceae",,
"Endlicheria bracteata","Endlicheria","Lauraceae",,
"Virola flexuosa","Virola","Myristicaceae",,
"Annona mucosa","Annona","Annonaceae",,
"Minquartia guianensis","Minquartia","Olacaceae",,
"Discophora guianensis","Discophora","Stemonuraceae",,
"Caryocar pallidum","Caryocar","Caryocaraceae",,
"Xylopia calophylla","Xylopia","Annonaceae",,
"Posoqueria latifolia","Posoqueria","Rubiaceae",,
"Ocotea sp19","Ocotea","Lauraceae",,
"Pourouma herrerensis","Pourouma","Urticaceae",,
"Ocotea sp21","Ocotea","Lauraceae",,
"Marila tomentosa","Marila","Calophyllaceae",,
"Calycophyllum megistocaulum","Calycophyllum","Rubiaceae",,
"Inga tomentosa","Inga","Fabaceae",,
"Byrsonima arthropoda","Byrsonima","Malpighiaceae",,
"Prunus GAT2091","Prunus","Rosaceae",,
"Chrysophyllum marginatum","Chrysophyllum","Sapotaceae",,
"Diospyros inconstans","Diospyros","Ebenaceae",,
"Prockia crucis","Prockia","Salicaceae",,
"Sapium LC3266","Sapium","Euphorbiaceae",,
"Oreopanax boliviensis","Oreopanax","Araliaceae",,
"Palicourea ottonis","Palicourea","Rubiaceae",,
"Ilex AF16438","Ilex","Aquifoliaceae",,
"Petrea volubilis","Petrea","Verbenaceae",,
"Berberis ciliaris","Berberis","Berberidaceae",,
"Dioicodendron dioicum","Dioicodendron","Rubiaceae",,
"Allophylus mollis","Allophylus","Sapindaceae",,
"Drypetes brevipedicellata","Drypetes","Putranjivaceae",,
"Coursetia brachyrhachis","Coursetia","Fabaceae",,
"Miconia cordata","Miconia","Melastomataceae",,
"Matisia ochrocalyx","Matisia","Malvaceae",,
"Mendoncia lindavii","Mendoncia","Acanthaceae",,
"Clavija lancifolia","Clavija","Primulaceae",,
"Machaerium amplum","Machaerium","Fabaceae",,
"Pentacalia jelskii","Pentacalia","Asteraceae",,
"Miconia AM3726","Miconia","Melastomataceae",,
"Celtis brasiliensis","Celtis","Cannabaceae",,
"Cedrela fissilis","Cedrela","Meliaceae",,
"Carapichea dolichophylla","Carapichea","Rubiaceae",,
"Piper rusbyi","Piper","Piperaceae",,
"Lycianthes GAT3099","Lycianthes","Solanaceae",,
"Protium puncticulatum","Protium","Burseraceae",,
"Aiouea grandifolia","Aiouea","Lauraceae",,
"Miconia AF8897","Miconia","Melastomataceae",,
"Doliocarpus amazonicus","Doliocarpus","Dilleniaceae",,
"Ilex pseudoebenacea","Ilex","Aquifoliaceae",,
"Bredemeyera densiflora","Bredemeyera","Polygalaceae",,
"Dendrophorbium multinerve","Dendrophorbium","Asteraceae",,
"Guarea purusana","Guarea","Meliaceae",,
"Zanthoxylum pucro","Zanthoxylum","Rutaceae",,
"Machaerium cuspidatum","Machaerium","Fabaceae",,
"Hylenaea praecelsa","Hylenaea","Celastraceae",,
"Persea haenkeana","Persea","Lauraceae",,
"Sciodaphyllum GAT1589","Sciodaphyllum","Araliaceae",,
"Calyptranthes AAD613","Calyptranthes","Myrtaceae",,
"Urera sp1","Urera","Urticaceae",,
"Nectandra sp5","Nectandra","Lauraceae",,
"Hillia parasitica","Hillia","Rubiaceae",,
"Schefflera sprucei","Schefflera","Araliaceae",,
"Dendropanax weberbaueri","Dendropanax","Araliaceae",,
"Guarea silvatica","Guarea","Meliaceae",,
"Cyathea obnoxia","Cyathea","Cyatheaceae",,
"Psychotria sp2","Psychotria","Rubiaceae",,
"Palicourea sulphurea","Palicourea","Rubiaceae",,
"Vismia tomentosa","Vismia","Hypericaceae",,
"Miconia sp13","Miconia","Melastomataceae",,
"Ilex karstenii","Ilex","Aquifoliaceae",,
"Dendropanax capitatus","Dendropanax","Araliaceae",,
"Myrsine sp5","Myrsine","Primulaceae",,
"Cavendishia sp1","Cavendishia","Ericaceae",,
"Guatteria boliviana","Guatteria","Annonaceae",,
"Solanum maturecalvens","Solanum","Solanaceae",,
"Nectandra sp15","Nectandra","Lauraceae",,
"Cupania americana","Cupania","Sapindaceae",,
"Inga punctata","Inga","Fabaceae",,
"Trattinnickia peruviana","Trattinnickia","Burseraceae",,
"Pleurothyrium intermedium","Pleurothyrium","Lauraceae",,
"Xylosma velutina","Xylosma","Salicaceae",,
"Campomanesia lineatifolia","Campomanesia","Myrtaceae",,
"Ficus NPZ4963","Ficus","Moraceae",,
"Bunchosia AF11740","Bunchosia","Malpighiaceae",,
"Acalypha diversifolia","Acalypha","Euphorbiaceae",,
